gamma (째),chi (째),psi0 (째),ax,ay,delta (째),handedness
-45.0,-22.5,45.0,0.7071067811865476,0.7071067811865475,-44.99999999999999,RHP
-45.0,-11.25,45.0,0.7071067811865476,0.7071067811865475,-22.5,RHP
-45.0,0.0,45.0,0.7071067811865476,0.7071067811865475,0.0,Linear
-45.0,11.25,45.0,0.7071067811865476,0.7071067811865475,22.5,LHP
-45.0,22.5,45.0,0.7071067811865476,0.7071067811865475,44.99999999999999,LHP
-22.5,-22.5,29.999999999999996,0.8660254037844387,0.49999999999999994,-54.735610317245346,RHP
-22.5,-11.25,24.605264529537354,0.9091978559252624,0.41636433418450464,-30.361193404821716,RHP
-22.5,0.0,22.5,0.9238795325112867,0.3826834323650898,0.0,Linear
-22.5,11.25,24.605264529537354,0.9091978559252624,0.41636433418450464,30.361193404821716,LHP
-22.5,22.5,29.999999999999996,0.8660254037844387,0.49999999999999994,54.735610317245346,LHP
0.0,-22.5,22.5,0.9238795325112867,0.3826834323650898,-90.0,RHP
0.0,-11.25,11.250000000000002,0.9807852804032304,0.19509032201612828,-89.99999914622636,RHP
0.0,0.0,0.0,1.0,0.0,0.0,Linear
0.0,11.25,11.250000000000002,0.9807852804032304,0.19509032201612828,89.99999914622636,LHP
0.0,22.5,22.5,0.9238795325112867,0.3826834323650898,90.0,LHP
22.5,-22.5,29.999999999999996,0.8660254037844387,0.49999999999999994,-54.735610317245346,RHP
22.5,-11.25,24.605264529537354,0.9091978559252624,0.41636433418450464,-30.361193404821716,RHP
22.5,0.0,22.5,0.9238795325112867,0.3826834323650898,0.0,Linear
22.5,11.25,24.605264529537354,0.9091978559252624,0.41636433418450464,30.361193404821716,LHP
22.5,22.5,29.999999999999996,0.8660254037844387,0.49999999999999994,54.735610317245346,LHP
45.0,-22.5,45.0,0.7071067811865476,0.7071067811865475,-44.99999999999999,RHP
45.0,-11.25,45.0,0.7071067811865476,0.7071067811865475,-22.5,RHP
45.0,0.0,45.0,0.7071067811865476,0.7071067811865475,0.0,Linear
45.0,11.25,45.0,0.7071067811865476,0.7071067811865475,22.5,LHP
45.0,22.5,45.0,0.7071067811865476,0.7071067811865475,44.99999999999999,LHP
